Item Name,Description,Link,Quantity
SpoolRoller,3D Custom Model,NA,2
M8 Roller Bearing,Roller Bearing for M8 shafts (22 mm OD),http://www.amazon.com/Skateboard-Bearings-Double-Shielded-Silver/dp/B002BBGTK6?ie=UTF8&psc=1&redirect=true&ref_=oh_aui_detailpage_o00_s00,2
